Anio,Poblacion
1992,13737062
1993,13956766
1994,14171821
1995,14381249
1996,14584947
1997,14782706
1998,14974898
1999,15162353
2000,15343326
2001,15520049
2002,15691701
2003,15856977
2004,16022133
2005,16183489
2006,16347890
2007,16517933
2008,16697754
2009,16881078
2010,17063927
2011,17254159
2012,17443491
2013,17611902
2014,17787617
2015,17971423
2016,18167147
2017,18419192
2018,18751405
2019,19107216
2020,19458310
2021,19678363
2022,19828563
2023,19960889
2024,20086377
2025,20206953
2026,20322807
2027,20433791
2028,20539666
2029,20640230
2030,20735289
2031,20826397
2032,20912278
2033,20992831
2034,21067996
2035,21137769
2036,21202223
2037,21261462
2038,21315630
2039,21364889
2040,21409418
2041,21449428
2042,21485105
2043,21516611
2044,21544064
2045,21567513
2046,21587015
2047,21602589
2048,21614271
2049,21622101
2050,21626079
